item_code,name,material_type,brand,finish,substrate,thickness,area_cost,area_handling_cost,area_assembly_cost,source_supplier,source_url,sample_image_url,thumbnail_url,sheet_length,sheet_width,sheet_cost,currency,price_status,review_status,visibility_status,texture_image_url,source_name,source_page,scraper_item_hash
POLY10528,Laminate Carrara Matt 0.7mm 3650x1360,laminate,Polytec,Carrara Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/carrara/,/data/bower-supplier-catalog/assets/polytec/colours/carrara/showroom/carrara.jpg,/data/bower-supplier-catalog/assets/polytec/colours/carrara/showroom/carrara.jpg,3650,1360,270.44,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/carrara/fullsheet/carrara.jpg,https://www.polytec.com.au/colour/carrara/,,db39916854fe7d8d6e80413da8565cd1bc2a5d6c89dd3dba94318ece1adbe423
POLY13085,Laminate Carrara Matt HL 0.7mm 3650x680,laminate,Polytec,Carrara Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/carrara/,/data/bower-supplier-catalog/assets/polytec/colours/carrara/showroom/carrara.jpg,/data/bower-supplier-catalog/assets/polytec/colours/carrara/showroom/carrara.jpg,3650,680,135.22,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/carrara/fullsheet/carrara.jpg,https://www.polytec.com.au/colour/carrara/,,4564761576c58fd23bf8ad210cc28a6b8d030b358d2ff7180eef8346b71b12de
POLY13086,Laminate Carrara Matt HS 0.7mm 1830x1360,laminate,Polytec,Carrara Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/carrara/,/data/bower-supplier-catalog/assets/polytec/colours/carrara/showroom/carrara.jpg,/data/bower-supplier-catalog/assets/polytec/colours/carrara/showroom/carrara.jpg,1825,1360,135.22,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/carrara/fullsheet/carrara.jpg,https://www.polytec.com.au/colour/carrara/,,e03ec6c82a7bdcdae2f9b3c54bd548d5e2e11a4bb47dcb3e7e1e254712c4cb2c
POLY13087,Laminate Carrara Matt Q 0.7mm 1830x680,laminate,Polytec,Carrara Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/carrara/,/data/bower-supplier-catalog/assets/polytec/colours/carrara/showroom/carrara.jpg,/data/bower-supplier-catalog/assets/polytec/colours/carrara/showroom/carrara.jpg,1825,680,67.61,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/carrara/fullsheet/carrara.jpg,https://www.polytec.com.au/colour/carrara/,,a69b384abb0fa616e40e55904536a8859f6d6d7eab4c06642afb62f820e03baa
POLY25300,Laminate Casastone Matt 0.7mm 3650x1360,laminate,Polytec,Casastone Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/casastone/,/data/bower-supplier-catalog/assets/polytec/colours/casastone/showroom/casastone.jpg,/data/bower-supplier-catalog/assets/polytec/colours/casastone/showroom/casastone.jpg,3650,1360,270.44,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/casastone/fullsheet/casastone.jpg,https://www.polytec.com.au/colour/casastone/,,09af1afe684a722aae9e771036fe19cfec7b57a5e3e45b766de06ea8c49c2e90
POLY25318,Laminate Casastone Matt HL 0.7mm 3650x680,laminate,Polytec,Casastone Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/casastone/,/data/bower-supplier-catalog/assets/polytec/colours/casastone/showroom/casastone.jpg,/data/bower-supplier-catalog/assets/polytec/colours/casastone/showroom/casastone.jpg,3650,680,135.22,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/casastone/fullsheet/casastone.jpg,https://www.polytec.com.au/colour/casastone/,,a3020266d38f144c4bd11251fc7248bd9a4136c07d530928da6f38891dd5c754
POLY25339,Laminate Casastone Matt HS 0.7mm 1830x1360,laminate,Polytec,Casastone Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/casastone/,/data/bower-supplier-catalog/assets/polytec/colours/casastone/showroom/casastone.jpg,/data/bower-supplier-catalog/assets/polytec/colours/casastone/showroom/casastone.jpg,1825,1360,135.22,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/casastone/fullsheet/casastone.jpg,https://www.polytec.com.au/colour/casastone/,,4f64b6d0433c0ea8a1ee54f6492bf3f24b1c6e6209b5ad5101a9f98a6b9d4430
POLY25359,Laminate Casastone Matt Q 0.7mm 1830x680,laminate,Polytec,Casastone Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/casastone/,/data/bower-supplier-catalog/assets/polytec/colours/casastone/showroom/casastone.jpg,/data/bower-supplier-catalog/assets/polytec/colours/casastone/showroom/casastone.jpg,1825,680,67.61,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/casastone/fullsheet/casastone.jpg,https://www.polytec.com.au/colour/casastone/,,8a667e08460a754399691ebf270ad0c5bf0179aa277b092186a2d00f9f94177d
POLY48514,Laminate Casentino Beech Woodmatt 0.7mm 3650x1360,laminate,Polytec,Casentino Beech Woodmatt,,0.7,50.34,0,0,Polytec,https://www.polytec.com.au/colour/casentino-beech/,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/showroom/casentino-beech.jpg,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/showroom/casentino-beech.jpg,3650,1360,249.87,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/fullsheet/casentino-beech-woodmatt.jpg,https://www.polytec.com.au/colour/casentino-beech/,,5cd3aa5628edc5d01acf7bf69e7723a8f0e60306955dbdfd1b28b5b65a4ba996
POLY48635,Laminate Casentino Beech Woodmatt HL 0.7mm 3650x680,laminate,Polytec,Casentino Beech Woodmatt,,0.7,50.33,0,0,Polytec,https://www.polytec.com.au/colour/casentino-beech/,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/showroom/casentino-beech.jpg,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/showroom/casentino-beech.jpg,3650,680,124.93,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/fullsheet/casentino-beech-woodmatt.jpg,https://www.polytec.com.au/colour/casentino-beech/,,52e300e697888e861cd9f313d4965d72f9cdedd1379e27d3a473122a65299515
POLY48612,Laminate Casentino Beech Woodmatt HS 0.7mm 1830x1360,laminate,Polytec,Casentino Beech Woodmatt,,0.7,50.33,0,0,Polytec,https://www.polytec.com.au/colour/casentino-beech/,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/showroom/casentino-beech.jpg,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/showroom/casentino-beech.jpg,1825,1360,124.93,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/fullsheet/casentino-beech-woodmatt.jpg,https://www.polytec.com.au/colour/casentino-beech/,,8cc1898a0cf4fa846b748f8bc931531d286c98433dd8a5e2e9c99bd096568611
POLY48649,Laminate Casentino Beech Woodmatt Q 0.7mm 1830x680,laminate,Polytec,Casentino Beech Woodmatt,,0.7,50.34,0,0,Polytec,https://www.polytec.com.au/colour/casentino-beech/,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/showroom/casentino-beech.jpg,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/showroom/casentino-beech.jpg,1825,680,62.47,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/casentino-beech/fullsheet/casentino-beech-woodmatt.jpg,https://www.polytec.com.au/colour/casentino-beech/,,2be3bb9cf270ee7fe5b6c1653d85a36d0ff0a7ec3f343245c637020c8c5390d5
POLY57539,Laminate Catalina Marble Smooth 0.7mm 3650x1360 - Film,laminate,Polytec,Catalina Marble Smooth,,0.7,50.34,0,0,Polytec,https://www.polytec.com.au/colour/catalina-marble/,/data/bower-supplier-catalog/assets/polytec/colours/catalina-marble/showroom/catalina-marble.jpg,/data/bower-supplier-catalog/assets/polytec/colours/catalina-marble/showroom/catalina-marble.jpg,3650,1360,249.87,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/catalina-marble/fullsheet/catalina-marble.jpg,https://www.polytec.com.au/colour/catalina-marble/,,91681f7cac3fd9df83cb9e85b80085c2206652efe26af9f8515351fcb777e8a2
