item_code,name,material_type,brand,finish,substrate,thickness,area_cost,area_handling_cost,area_assembly_cost,source_supplier,source_url,sample_image_url,thumbnail_url
AU1007297,Victorian Ash Truescale,sheet_material,Laminex,Natural,Benchtops - Laminex Decorated Particleboard,0.7,,0,0,Laminex,https://www.laminex.com.au/products/victorian-ash-truescale/Natural/p/AU1007297,/data/bower-supplier-catalog/assets/laminex/colours/victorian-ash-truescale/showroom/natural-AU1007297.jpg,/data/bower-supplier-catalog/assets/laminex/colours/victorian-ash-truescale/showroom/natural-AU1007297.jpg
AU1000693,White,laminate,Laminex,DiamondGloss,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/white/DiamondGloss/p/AU1000693,/data/bower-supplier-catalog/assets/laminex/colours/white/showroom/diamondgloss-AU1000693.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white/showroom/diamondgloss-AU1000693.jpg
AU1000871,White,sheet_material,Laminex,Silk,Laminex Decorated MDF,1,,0,0,Laminex,https://www.laminex.com.au/products/white/Silk/p/AU1000871,/data/bower-supplier-catalog/assets/laminex/colours/white/showroom/natural-AU1001775.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white/showroom/natural-AU1001775.jpg
AU1001775,White,sheet_material,Laminex,Natural,Laminex Decorated MDF,0.7,,0,0,Laminex,https://www.laminex.com.au/products/white/Natural/p/AU1001775,/data/bower-supplier-catalog/assets/laminex/colours/white/showroom/natural-AU1001775.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white/showroom/natural-AU1001775.jpg
AU1004844,White,laminate,Laminex,AbsoluteMatte,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/white/AbsoluteMatte/p/AU1004844,/data/bower-supplier-catalog/assets/laminex/colours/white/showroom/natural-AU1001775.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white/showroom/natural-AU1001775.jpg
AU1003377,White Linen,sheet_material,Laminex,Natural,Laminex Decorated MDF,0.7,,0,0,Laminex,https://www.laminex.com.au/products/white-linen/Natural/p/AU1003377,/data/bower-supplier-catalog/assets/laminex/colours/white-linen/showroom/natural-AU1003377.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white-linen/showroom/natural-AU1003377.jpg
AU1003791,White Painted Wood,sheet_material,Laminex,Natural,Laminex Decorated MDF,0.7,,0,0,Laminex,https://www.laminex.com.au/products/white-painted-wood/Natural/p/AU1003791,/data/bower-supplier-catalog/assets/laminex/colours/white-painted-wood/showroom/natural-AU1003791.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white-painted-wood/showroom/natural-AU1003791.jpg
AU1001771,White Textile,sheet_material,Laminex,Natural,Laminex Decorated MDF,0.7,,0,0,Laminex,https://www.laminex.com.au/products/white-textile/Natural/p/AU1001771,/data/bower-supplier-catalog/assets/laminex/colours/white-textile/showroom/natural-AU1001771.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white-textile/showroom/natural-AU1001771.jpg
AU1000222,White Valencia,laminate,Laminex,DiamondGloss,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/white-valencia/DiamondGloss/p/AU1000222,/data/bower-supplier-catalog/assets/laminex/colours/white-valencia/showroom/diamondgloss-AU1000222.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white-valencia/showroom/diamondgloss-AU1000222.jpg
AU1001773,White Valencia,laminate,Laminex,Natural,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/white-valencia/Natural/p/AU1001773,/data/bower-supplier-catalog/assets/laminex/colours/white-valencia/showroom/natural-AU1001773.jpg,/data/bower-supplier-catalog/assets/laminex/colours/white-valencia/showroom/natural-AU1001773.jpg
AU1001777,Whitewashed Oak,sheet_material,Laminex,Natural,Laminex Decorated Particleboard,0.7,,0,0,Laminex,https://www.laminex.com.au/products/whitewashed-oak/Natural/p/AU1001777,/data/bower-supplier-catalog/assets/laminex/colours/whitewashed-oak/showroom/natural-AU1001777.jpg,/data/bower-supplier-catalog/assets/laminex/colours/whitewashed-oak/showroom/natural-AU1001777.jpg
AU1003558,Whitewashed Oak,sheet_material,Laminex,Chalk,Laminex Decorated Particleboard,0.7,,0,0,Laminex,https://www.laminex.com.au/products/whitewashed-oak/Chalk/p/AU1003558,/data/bower-supplier-catalog/assets/laminex/colours/whitewashed-oak/showroom/natural-AU1001777.jpg,/data/bower-supplier-catalog/assets/laminex/colours/whitewashed-oak/showroom/natural-AU1001777.jpg
AU1007257,Whitewashed Oak,sheet_material,Laminex,AbsoluteGrain,Laminex Decorated MDF,0.7,,0,0,Laminex,https://www.laminex.com.au/products/whitewashed-oak/AbsoluteGrain/p/AU1007257,/data/bower-supplier-catalog/assets/laminex/colours/whitewashed-oak/showroom/absolutegrain-AU1007257.jpg,/data/bower-supplier-catalog/assets/laminex/colours/whitewashed-oak/showroom/absolutegrain-AU1007257.jpg
AU1003394,Winter Sky,laminate,Laminex,Natural,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/winter-sky/Natural/p/AU1003394,/data/bower-supplier-catalog/assets/laminex/colours/winter-sky/showroom/natural-AU1003394.jpg,/data/bower-supplier-catalog/assets/laminex/colours/winter-sky/showroom/natural-AU1003394.jpg
AU1001780,Young Beech,sheet_material,Laminex,Natural,Laminex Decorated MDF,0.7,,0,0,Laminex,https://www.laminex.com.au/products/young-beech/Natural/p/AU1001780,/data/bower-supplier-catalog/assets/laminex/colours/young-beech/showroom/natural-AU1001780.jpg,/data/bower-supplier-catalog/assets/laminex/colours/young-beech/showroom/natural-AU1001780.jpg
AU1001781,Zincworks,sheet_material,Laminex,Natural,Laminex Decorated Particleboard,0.7,,0,0,Laminex,https://www.laminex.com.au/products/zincworks/Natural/p/AU1001781,/data/bower-supplier-catalog/assets/laminex/colours/zincworks/showroom/natural-AU1001781.jpg,/data/bower-supplier-catalog/assets/laminex/colours/zincworks/showroom/natural-AU1001781.jpg
MEGM12SMWIA3607,MEGANITE Acrymed MediWhite,solid_surface_sheet,MEGANITE,acrymed mediwhite,Solid Surface,12,242.67,0,0,ForestOne,https://forest.one/media/catalog/product/a/c/acrymed-033z-800px.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/acrymed-mediwhite-033z.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/acrymed-mediwhite-033z.jpg
MEGM12ALTR3607,MEGANITE Alpi Terrazzo,solid_surface_sheet,MEGANITE,alpi terrazzo,Solid Surface,12,375.32,0,0,ForestOne,https://forest.one/media/catalog/product/a/l/alpi.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/alpi-terrazzo-tt004.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/alpi-terrazzo-tt004.jpg
MEGM20ANTS3009,MEGANITE Antarctica (NEW),solid_surface_sheet,MEGANITE,antarctica,Solid Surface,20,445.04,0,0,ForestOne,https://forest.one/media/catalog/product/a/n/antarctica_1.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/antarctica-dc103.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/antarctica-dc103.jpg
MEGM20ANTS3012,MEGANITE Antarctica (NEW),solid_surface_sheet,MEGANITE,antarctica,Solid Surface,20,461.66,0,0,ForestOne,https://forest.one/media/catalog/product/a/n/antarctica_1.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/antarctica-dc103.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/antarctica-dc103.jpg
MEGM12ANTS3607,MEGANITE Antarctica,solid_surface_sheet,MEGANITE,antarctica,Solid Surface,12,285.81,0,0,ForestOne,https://forest.one/media/catalog/product/a/n/antarctica_1.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/antarctica-dc103.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/antarctica-dc103.jpg
MEGM12ANSS3607,MEGANITE Antique Shell,solid_surface_sheet,MEGANITE,antique shell,Solid Surface,12,336.5,0,0,ForestOne,https://forest.one/media/catalog/product/a/a/aantique-shell-m031-800px.png,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/antique-shell-m031.png,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/antique-shell-m031.png
MEGM20BLGS3009,MEGANITE Blanca Granite (NEW),solid_surface_sheet,MEGANITE,blanca granite,Solid Surface,20,445.04,0,0,ForestOne,https://forest.one/media/catalog/product/b/l/blanca-granite.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/blanca-granite-701a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/blanca-granite-701a.jpg
MEGM20BLGS3012,MEGANITE Blanca Granite (NEW),solid_surface_sheet,MEGANITE,blanca granite,Solid Surface,20,461.66,0,0,ForestOne,https://forest.one/media/catalog/product/b/l/blanca-granite.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/blanca-granite-701a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/blanca-granite-701a.jpg
